student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1145,Lori Patrick,11th,84,90,48,68,10,60
S1146,John Owens,11th,73,92,67,75,19,73
S1147,Mary Castillo,11th,48,81,99,75,3,63
S1148,Richard Cameron,8th,63,54,86,57,5,63
S1149,Breanna Mayer,11th,47,84,49,37,13,52
S1150,Jennifer Mitchell,8th,46,75,38,92,8,69
S1151,Laura Rodriguez,11th,75,61,61,66,16,74
S1152,Samuel Brown,12th,57,84,33,65,8,66
S1153,Melissa Joseph,11th,42,34,79,77,18,56
S1154,Rhonda Brown,9th,67,65,34,41,17,57
S1155,Christopher Coleman,11th,45,78,49,35,10,48
S1156,James Matthews,10th,83,87,66,95,15,84
S1157,Christopher Cruz,11th,83,68,51,48,18,61
S1158,Morgan Orr,9th,60,90,87,86,6,81
S1159,Robert Pearson,9th,67,38,97,40,3,51
S1160,Andrea Russell,8th,79,35,73,44,17,51
S1161,Brandon Mitchell,12th,93,64,63,64,15,82
S1162,Kimberly Carter,11th,93,68,71,55,15,74
S1163,Megan Parker,8th,40,51,38,94,2,46
S1164,Shelley Brewer,12th,75,70,36,97,4,65
S1165,Kevin Macdonald,11th,60,34,97,76,8,61
S1166,Lee Smith,10th,99,71,48,85,16,77
S1167,Desiree Norris,11th,82,96,60,98,3,81
S1168,Antonio Hooper,9th,74,59,64,90,10,73
S1169,Raymond Johnson,9th,52,86,86,75,6,70
S1170,Jordan Kirk,10th,96,58,90,66,19,79
S1171,Jessica Patel,8th,88,66,60,49,17,73
S1172,Valerie Mccullough,12th,93,42,82,96,5,64
S1173,Kevin Snyder,11th,93,61,61,61,13,65
S1174,Emily Martin,9th,49,75,95,62,8,60
S1175,John Santiago,8th,92,52,88,98,15,88
S1176,Nichole Miller,10th,83,74,39,93,13,69
S1177,Caitlin Adkins,9th,86,46,31,92,4,55
S1178,Shannon Ramsey,10th,92,95,95,36,6,75
S1179,Shelby Reed,11th,49,35,89,70,18,59
S1180,Brandon Flores,12th,85,47,46,47,11,55
S1181,Matthew Lloyd,9th,52,51,45,49,11,61
S1182,Clinton Douglas,9th,76,62,45,94,12,73
S1183,Michael Miller,11th,77,59,75,56,18,67
S1184,Robert Cummings,8th,63,61,68,97,6,68
S1185,Angela Vincent,12th,41,71,60,59,14,62
S1186,Donna Wilson,9th,61,39,30,82,11,58
S1187,Jeanette Martin,12th,56,65,40,77,10,59
S1188,William Reynolds,9th,75,63,33,72,18,65
S1189,Harry Lewis,12th,53,57,55,75,2,48
S1190,Sheila Lopez,10th,49,40,79,79,5,49
S1191,Gabriel Bradshaw,9th,74,68,41,74,5,60
S1192,Dana Williams,12th,64,76,94,51,19,69
S1193,Sarah Woods,8th,42,48,76,91,10,65
S1194,Robin Martinez,10th,86,44,82,36,19,66
S1195,Jennifer Diaz,10th,77,57,31,96,15,64
S1196,Trevor Brown,8th,56,53,53,43,16,54
S1197,John Dean,12th,51,38,33,51,7,41
S1198,Roberta Bennett,11th,93,76,48,84,11,84
S1199,Rachel Osborn,8th,91,62,55,74,16,74
S1200,Jesse Mcdonald,12th,63,91,69,92,5,65
S1201,Curtis Willis,8th,68,48,79,55,19,74
S1202,Eric Lawrence,8th,82,96,72,52,19,73
S1203,Daniel Parsons,9th,64,69,96,89,18,75
S1204,Anthony Meza,12th,75,76,41,63,13,75
S1205,Jorge Taylor,11th,97,94,96,58,8,82
S1206,Angela Alvarado,9th,99,58,56,51,17,72
S1207,Jeffrey Fuentes,8th,65,79,83,52,12,71
S1208,Danielle Larson,8th,77,42,95,76,15,72
S1209,Katelyn Nunez,8th,40,30,78,79,4,50
S1210,Dr. John Garcia,12th,59,63,45,51,19,56
S1211,Richard Clark,12th,94,77,31,48,11,70
S1212,Corey Thompson,9th,67,77,89,83,7,75
S1213,Michael Mack,11th,55,78,83,63,14,75
S1214,Lauren Swanson,9th,86,93,59,38,11,66
S1215,Judy Donovan,10th,56,90,67,54,19,64
S1216,Stephen Woodard,8th,79,58,57,81,17,64
S1217,Jason Johnson,8th,67,68,54,43,7,58
S1218,Charles Johnson,8th,97,55,39,61,14,73
S1219,Sharon Gomez,9th,51,46,89,49,5,50
S1220,Matthew Fritz,9th,66,42,71,53,15,62
S1221,Dr. Kimberly Tran,8th,93,98,69,86,2,72
S1222,Jeremy Sanchez,9th,92,55,71,60,6,63
S1223,Clifford Mccoy,12th,81,78,76,60,9,71
S1224,Jamie Ortiz,12th,98,96,66,60,13,69
S1225,Holly Moore,9th,86,36,51,80,3,60
S1226,Andrew Durham,8th,69,87,86,83,13,74
S1227,Christina Lee,9th,80,78,56,87,6,74
S1228,Michael Garcia,9th,73,82,70,37,6,60
S1229,Jessica Foster,9th,76,94,63,76,14,81
S1230,Katie Mejia,10th,45,91,61,53,10,58
S1231,Brian Hall,12th,46,46,95,51,11,51
S1232,Michael Leblanc,11th,71,72,41,67,2,50
S1233,Tonya Jones,11th,71,54,69,83,4,55
S1234,Sean Ryan,10th,92,32,39,90,19,72
S1235,Candace Rodriguez,9th,64,58,77,97,13,86
S1236,Ashley Jackson,10th,72,61,49,37,4,53
S1237,Patricia Stewart,10th,94,55,68,83,10,82
S1238,Michael Freeman,8th,97,45,89,89,3,80
S1239,William Bryant,12th,46,54,95,60,4,55
S1240,Michael Delgado,11th,91,83,94,86,15,93
S1241,Benjamin Buckley,9th,96,57,80,41,5,61
S1242,Heather Ponce,11th,51,85,65,80,14,67
S1243,Michael Cole,11th,55,94,53,80,8,66
S1244,Christopher Fletcher,12th,55,70,56,50,13,57
S1245,Angela Snyder,11th,82,80,31,58,4,62
S1246,Patricia Branch,11th,92,58,60,95,10,71
S1247,Joshua Baker,10th,75,48,86,88,3,73
S1248,Jennifer Ward MD,12th,52,95,95,96,10,84
S1249,Justin Sherman,8th,46,70,58,35,13,54
S1250,Dennis Richmond,9th,75,74,44,83,13,79
S1251,Alexis Ruiz,11th,86,44,41,59,16,67
S1252,Tara Bailey,9th,90,32,57,44,3,58
S1253,David Banks,8th,48,40,53,50,19,52
S1254,Amy Long,9th,71,82,50,92,14,75
S1255,Michele Nguyen,8th,50,75,39,63,15,61
S1256,Justin Palmer,10th,47,59,47,40,6,46
S1257,Erika Fritz,11th,72,86,43,50,11,59
S1258,Mrs. Kimberly Brooks,8th,62,47,63,54,13,45
S1259,Amy May,9th,64,80,87,77,11,77
S1260,Emily Jackson,11th,95,77,51,60,12,75
S1261,Morgan Bowen,10th,47,95,99,67,3,62
S1262,Darlene Rush,11th,84,37,65,60,6,62
S1263,Edgar Turner,8th,61,51,74,79,8,61
S1264,Gabriela Greene,10th,98,35,65,97,7,70
S1265,Kevin Mcfarland,9th,43,86,51,86,4,68
S1266,David Rodriguez,10th,79,65,90,60,14,67
S1267,Hannah Barron,10th,42,86,85,36,4,50
S1268,Stephanie Martinez,12th,68,78,62,48,7,69
S1269,Jose Bailey,10th,80,74,74,64,12,70
S1270,Samantha Johnson,10th,68,95,65,83,18,84
S1271,Mary Allen,11th,73,74,49,46,11,51
S1272,Tiffany Roberts,9th,73,49,47,78,13,55
S1273,Ebony Davis,11th,67,93,67,67,18,69
S1274,Heather Wise,11th,52,96,96,47,5,63
S1275,Calvin Carter,8th,54,32,52,60,3,39
S1276,Dennis Mcintyre,11th,99,83,45,55,12,71
S1277,Donald Frazier,12th,62,93,88,62,8,73
S1278,Eric Wallace,12th,83,69,98,82,3,71
S1279,Stephanie Curry,8th,65,88,97,74,19,77
S1280,Teresa Campbell,9th,43,84,50,57,5,50
S1281,Vanessa Lopez,9th,65,91,99,82,9,73
S1282,Angela Dixon,11th,79,33,41,36,15,36
S1283,Stephanie Perkins,11th,48,89,45,54,13,58
S1284,Tristan Reyes,11th,94,59,43,93,19,74
S1285,Darrell Fisher,9th,44,31,90,80,12,59
S1286,Sara Duarte,10th,95,91,75,37,9,65
S1287,Jamie Hunt,12th,71,78,61,89,3,73
S1288,Ryan Blake,10th,59,38,44,46,16,62
S1289,Micheal Wiggins,10th,89,60,73,74,10,68
S1290,John Watkins,9th,50,90,46,50,9,63
S1291,Jordan Miller,10th,54,77,70,68,6,64
S1292,Clifford Mendez,8th,71,54,83,78,12,70
S1293,Jill Murphy,11th,67,65,73,40,16,60
S1294,Amanda Hughes,8th,61,37,34,98,9,58
S1295,Martin Robles,12th,80,87,56,56,9,72
S1296,Brandon Anderson,11th,56,74,72,52,19,60
S1297,Perry Rogers,10th,98,91,60,46,11,70
S1298,Wesley Cunningham,12th,65,68,46,86,8,70
S1299,Aaron Waters,11th,83,87,83,85,10,85
S1300,Kelly Watson,10th,46,93,91,82,2,64
S1301,Brandy Morales,8th,81,73,61,53,6,62
S1302,Mark Campbell,11th,96,58,69,40,2,64
S1303,Natalie Miller,10th,65,88,42,61,16,68
S1304,Heather Davis,8th,64,38,64,87,17,71
S1305,John Myers,12th,49,35,34,82,8,52
S1306,Sydney Meyer,12th,98,58,58,41,13,67
S1307,Mary Neal,12th,84,87,99,93,9,87
S1308,Benjamin Ross,12th,58,46,54,45,6,56
S1309,Mr. Phillip Ward,9th,50,45,51,49,11,47
S1310,Eric Salazar,11th,52,32,95,98,6,66
S1311,Steven Williams,11th,92,50,74,37,18,60
S1312,Lisa Anderson,9th,47,93,98,57,6,61
S1313,Tamara Kennedy,10th,79,65,30,87,16,70
S1314,Frederick Mcbride,10th,43,91,73,71,14,64
S1315,Melanie Lopez,12th,86,71,68,43,2,60
S1316,Joanna Dickerson,8th,70,71,83,49,12,74
S1317,Shannon Todd DVM,10th,67,90,58,37,2,64
S1318,Kelsey Gonzalez,8th,50,42,83,51,12,67
S1319,Melissa Brock,11th,82,40,45,60,19,70
S1320,Charles Stevens,8th,40,83,49,55,19,71
S1321,Douglas Roberson,11th,88,45,75,55,17,70
S1322,Edwin Smith,9th,86,37,96,45,14,61
S1323,Christopher Mccoy,9th,91,88,94,72,8,76
S1324,Anne Johnson,12th,77,86,87,69,2,79
S1325,Joseph Flynn,10th,63,69,82,48,17,66
S1326,Peggy Lewis,12th,93,88,30,48,2,60
S1327,Alan Arias,11th,99,31,95,44,18,67
S1328,Kenneth Rivers,12th,96,39,58,46,7,56
S1329,Shannon Guerrero,8th,86,73,99,72,3,77
S1330,Sandra Barker,11th,70,40,37,68,18,53
S1331,Scott Tate,9th,80,31,58,75,7,61
S1332,Scott Ferguson,10th,85,79,80,44,15,79
S1333,Rebecca Sparks,11th,89,41,62,51,19,54
S1334,Daniel Garrett,11th,65,52,32,51,7,41
S1335,Melissa Mccoy,8th,88,47,89,96,11,82
S1336,William Davis,10th,89,91,64,35,19,78
S1337,Laura Smith,9th,44,91,98,46,10,62
S1338,Julia Miles,11th,59,67,49,38,9,41
S1339,Jeremy Parker,11th,91,96,68,76,11,87
S1340,William Gonzalez,8th,80,67,33,47,18,56
S1341,Donald Hebert,12th,50,96,48,38,7,52
S1342,Michael Anderson,9th,95,90,74,53,15,78
S1343,Hannah Boyd,10th,93,30,72,36,7,52
S1344,Lauren White,11th,72,74,42,46,8,52
S1345,Kenneth Hanson,11th,89,57,42,40,13,54
S1346,Kevin Brewer,9th,77,50,89,42,4,68
S1347,Lindsey Adams,12th,66,42,86,85,15,76
S1348,Wanda Clark,11th,73,56,81,45,17,68
S1349,Danny Garcia,9th,54,36,82,97,8,54
S1350,Sean Brown,8th,71,51,72,91,9,72
S1351,Stacey Thompson,12th,97,82,71,46,19,78
S1352,Lisa Deleon,10th,60,33,55,36,14,42
S1353,David Moreno,11th,85,52,52,42,10,58
S1354,Taylor Maldonado,9th,44,99,72,45,11,67
S1355,Jason Vance,8th,45,62,57,87,10,64
S1356,Stacie Young,10th,77,57,38,44,16,53
S1357,Derrick Snyder,9th,61,37,49,42,3,44
S1358,Miranda Pineda,9th,57,30,85,70,14,65
S1359,Tracy Miller,10th,53,66,68,48,3,53
S1360,Kendra Simpson,8th,49,92,80,88,3,76
S1361,Tonya Woods,8th,85,51,41,55,4,57
S1362,John Farley,12th,52,99,84,84,7,77
S1363,Elizabeth Booth,11th,70,50,40,73,4,59
S1364,Brian Goodman,10th,69,64,55,54,11,54
S1365,Kristen Nguyen,10th,42,34,71,41,7,45
S1366,Karen Kelley,10th,69,89,56,43,17,63
S1367,Mary Oliver,8th,45,75,40,35,18,57
S1368,Juan Jones,11th,68,79,67,60,4,65
S1369,Jordan Brock,12th,47,77,72,72,19,68
S1370,Susan Ellis,9th,83,35,48,72,8,52
S1371,William Harris,9th,84,85,93,95,10,77
S1372,Megan Garner,10th,82,88,35,78,13,72
S1373,Jordan Robinson,11th,83,58,75,78,6,66
S1374,Nicholas Beck,8th,72,47,71,96,4,70
S1375,James Ferguson,11th,56,31,94,40,12,46
S1376,Edward Nguyen,11th,87,37,88,51,5,69
S1377,Monica Winters,8th,50,83,81,85,6,72
S1378,Scott Miranda,10th,52,67,76,72,2,61
S1379,Robert Schmidt,11th,89,77,36,58,19,77
S1380,Brian Anderson,9th,50,56,40,85,13,64
S1381,Lauren Love,8th,70,49,90,44,14,60
S1382,Robert Nguyen,12th,67,41,97,55,10,63
S1383,Danny Moyer,10th,83,72,54,91,3,60
S1384,Robert Mendoza,8th,45,90,41,73,6,64
S1385,William Lamb,12th,80,60,55,67,14,65
S1386,Dr. Stephanie Hall,12th,55,90,41,93,17,61
S1387,John Reyes,11th,43,96,72,52,17,59
S1388,Tonya Randall,11th,74,64,80,90,4,76
S1389,John Page,11th,99,44,66,91,5,80
S1390,Christina Scott,8th,87,45,75,82,12,72
S1391,James Ballard,8th,95,42,82,76,15,70
S1392,Melanie Hoffman,10th,98,64,42,61,4,55
S1393,Stacy Perkins,11th,65,88,83,86,17,87
S1394,Raymond Contreras,12th,96,50,86,76,16,80
S1395,Alec Kennedy PhD,9th,51,83,33,66,11,56
S1396,Samantha Moon,10th,50,59,78,60,10,57
S1397,James Clark,8th,76,77,36,59,12,65
S1398,Erin Brooks,10th,64,64,40,57,17,62
S1399,Janice Holt,10th,57,67,83,91,11,68
S1400,Matthew Davenport,10th,58,60,74,86,18,66
S1401,Keith Stokes,10th,62,53,52,65,3,48
S1402,Christine Bruce,9th,94,78,57,98,3,74
S1403,Victoria Nelson,11th,77,61,86,67,7,65
S1404,Bridget Hernandez,12th,93,84,55,36,9,72
S1405,Justin Nunez,10th,57,87,54,52,4,54
S1406,Michael Barnes,10th,65,32,83,81,15,60
S1407,Jose Cook,10th,45,98,58,67,17,61
S1408,Ashley Smith,11th,43,39,65,69,2,48
S1409,Jody Rose,8th,83,54,43,85,4,54
S1410,Stacey Mclaughlin,8th,90,97,64,52,19,76
S1411,Kathleen Adams,9th,68,90,59,64,10,61
S1412,Joseph Reynolds,8th,98,58,46,78,7,74
S1413,Danny Young,10th,73,48,96,87,2,70
S1414,Bryan Johnson,10th,56,72,59,44,11,67
S1415,Pamela Clark,10th,82,95,74,86,7,78
S1416,Christopher Mcclain,9th,82,90,80,83,13,66
S1417,Jennifer Morrison,10th,92,72,76,45,5,73
S1418,Hunter Crawford,8th,55,54,82,92,14,73
S1419,Joan Scott,11th,41,49,93,70,18,68
S1420,Ashley Johnson,11th,73,77,67,67,9,63
S1421,Billy Michael,12th,94,53,93,81,4,74
S1422,Andrew Rodriguez,8th,47,40,36,47,13,46
S1423,Timothy Wright,10th,52,84,51,74,8,61
S1424,Mary Hines,11th,81,57,70,76,13,62
S1425,William Horton,8th,47,98,39,53,3,67
S1426,Lindsey Sanders,11th,69,92,86,53,15,77
S1427,Samuel Foley,10th,71,88,36,92,6,70
S1428,Derek Thompson,11th,75,34,79,57,10,67
S1429,Megan Scott,12th,86,80,81,88,12,84
S1430,Sabrina Thompson,12th,69,50,62,99,6,64
S1431,Jeremy Peterson,11th,40,41,30,46,4,43
S1432,Darryl Glover,8th,82,79,82,58,18,80
S1433,Steven Lang,8th,78,33,89,68,3,59
S1434,Nancy Patel,8th,56,71,63,87,2,67
S1435,Patricia Bradley,11th,98,67,33,42,8,57
S1436,Jason King,8th,59,54,46,52,15,56
S1437,Joseph Ortiz,10th,63,43,33,91,6,59
S1438,Diana Jenkins,12th,89,61,72,39,12,71
S1439,Michael Carter,10th,61,40,33,60,3,43
S1440,Christina Smith,8th,68,90,30,64,9,63
S1441,Mario Haynes,10th,61,47,79,88,10,77
S1442,Maria Riley,8th,83,56,90,47,4,62
S1443,Jasmine Martin,11th,48,84,64,63,3,59
S1444,Dylan Richardson,10th,76,83,37,37,8,66
S1445,Mr. Kenneth Marshall,11th,49,50,53,92,6,62
S1446,Brian Brown,11th,75,73,65,36,6,50
S1447,James Hayes,9th,76,34,79,62,14,60
S1448,Brittany Cervantes,8th,67,70,72,36,7,61
S1449,Victor Pearson MD,12th,67,88,56,41,19,67
S1450,David Morris,8th,81,83,61,60,3,66
S1451,Rachel Cabrera,12th,82,51,47,50,7,66
S1452,Jackson Patton,8th,60,94,57,57,10,61
S1453,Darin Cunningham,11th,63,93,58,74,4,66
S1454,Vincent Dunlap,10th,81,33,45,94,2,50
S1455,Victoria Sullivan,10th,99,94,76,66,2,82
S1456,Karen Vazquez,9th,79,44,88,49,6,57
S1457,Matthew Fisher,12th,41,51,60,47,14,56
S1458,Amy Ramsey,12th,94,76,33,39,13,66
S1459,Omar Williams,12th,47,75,66,86,17,81
S1460,William Jackson,11th,87,43,46,75,4,63
S1461,Lauren Bryant DVM,12th,66,79,68,87,13,72
S1462,Andrea Brady,10th,61,49,77,84,6,66
S1463,Bradley Carter,11th,76,79,75,49,3,59
S1464,Katrina Munoz,8th,66,62,77,41,8,60
S1465,Jeremy Farmer,12th,96,88,68,74,14,79
S1466,Erik Scott,12th,68,72,33,62,16,61
S1467,Jason Hall,8th,42,41,59,66,4,44
S1468,Melissa Miles,12th,83,69,59,49,6,63
S1469,Michael Lindsey,8th,52,49,51,99,9,66
S1470,Samantha Mcpherson,11th,84,67,95,38,2,55
S1471,Danielle Peterson,10th,49,32,41,45,9,39
S1472,Cindy Schultz,8th,75,57,65,60,19,68
S1473,Tiffany Moore,9th,48,85,47,95,17,58
S1474,Joshua Villarreal,8th,93,42,82,71,19,84
S1475,Shannon Werner,12th,95,95,30,57,13,65
S1476,Roy Stevenson,11th,94,66,87,74,14,74
S1477,Ronnie Bradshaw,11th,66,78,35,57,14,59
S1478,William Smith,8th,73,95,99,50,11,75
S1479,Kristin Tucker,10th,90,65,73,95,8,74
S1480,Edward Robinson,9th,40,83,53,65,15,65
S1481,Laura Cox,11th,71,55,48,87,17,70
S1482,Alexander Chavez,12th,64,69,47,59,16,57
S1483,Mrs. Tamara Strickland DDS,12th,68,72,59,78,13,66
S1484,William Brown,10th,46,51,71,46,10,44
S1485,Kenneth Ramirez,11th,88,49,62,43,9,53
S1486,Dawn Gonzalez,8th,42,37,41,46,19,49
S1487,Dustin Smith,12th,59,58,56,88,19,64
S1488,Jason Hampton,10th,59,69,68,88,14,80
S1489,Samantha Page,11th,92,59,38,62,19,67
S1490,Oscar Vasquez,11th,69,84,50,90,16,67
S1491,Brenda Moore,11th,74,45,58,92,5,58
S1492,Jaime Collins,11th,74,75,62,76,18,79
S1493,Charles Noble,11th,88,91,91,72,6,79
S1494,Lisa Torres,12th,78,36,44,87,17,70
S1495,Samuel Perry,10th,66,74,31,67,10,57
S1496,Jennifer Davis,11th,65,88,81,90,11,75
S1497,Lisa Manning,9th,53,85,73,85,19,81
S1498,Veronica Parks MD,9th,56,77,83,77,18,69
S1499,Lindsay Bradford MD,10th,57,56,47,49,19,59
S1500,Joshua Martin,8th,84,82,32,72,8,64
S1501,Renee Young,8th,91,64,36,49,5,61
S1502,Travis Garcia,8th,68,80,72,39,6,69
S1503,Kayla Santana,9th,59,66,67,88,17,69
S1504,Alexis Martinez,8th,92,86,66,85,4,73
S1505,Valerie Smith,12th,66,37,87,44,19,65
S1506,John Dodson,11th,57,49,62,46,15,50
S1507,Sheri King,9th,43,82,88,38,16,70
